N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Minimum Monomer Separations (A)
3mer-0+113+139,0.00000000,1,0.00000000,0.00000000,1.542297e-13,11.651 13.713 17.295 
3mer-0+53+158,0.00000000,2,0.00000000,0.00000000,6.258614e-13, 8.595 11.654 17.295 
3mer-0+59+75,0.00000000,1,0.00000000,0.00000000,5.732154e-13, 8.756 11.780 17.295 
3mer-0+26+160,0.00000000,2,0.00000000,0.00000000,6.024951e-13, 8.557 11.855 17.295 
3mer-0+91+128,0.00000000,1,0.00000000,0.00000000,6.944214e-13, 7.992 12.106 17.295 
3mer-0+103+104,0.00000000,1,0.00000000,0.00000000,1.437097e-13,12.106 13.512 17.295 
3mer-0+64+71,0.00000000,1,0.00000000,0.00000000,2.988735e-13,10.429 12.288 17.295 
3mer-0+9+126,0.00000000,2,0.00000000,0.00000000,1.361525e-12, 6.194 12.481 17.295 
3mer-0+135+147,0.00000000,1,0.00000000,0.00000000,7.529491e-14,13.272 15.288 17.295 
3mer-0+7+116,0.00000000,1,0.00000000,0.00000000,1.286195e-11, 2.680 13.648 17.295 
3mer-0+25+137,0.00000000,1,0.00000000,0.00000000,1.869704e-12, 5.059 13.747 17.295 
3mer-0+105+123,0.00000000,1,0.00000000,0.00000000,1.846628e-13,10.895 13.810 17.295 
3mer-0+95+114,0.00000000,1,0.00000000,0.00000000,1.690524e-13,11.150 13.898 17.295 
3mer-0+19+145,0.00000000,1,0.00000000,0.00000000,2.095258e-12, 4.716 14.197 17.295 
3mer-0+12+140,0.00000000,1,0.00000000,0.00000000,1.502989e-12, 5.156 14.507 17.295 
3mer-0+110+143,0.00000000,1,0.00000000,0.00000000,5.952568e-14,14.689 14.939 17.295 
3mer-0+14+148,0.00000000,1,0.00000000,0.00000000,1.011969e-12, 5.382 15.858 17.295 
3mer-0+23+65,0.00000000,2,0.00000000,0.00000000,5.292055e-12, 6.186  7.916 17.366 
3mer-0+28+69,0.00000000,2,0.00000000,0.00000000,8.035635e-12, 5.382  7.916 17.366 
3mer-0+42+55,0.00000000,2,0.00000000,0.00000000,1.334525e-12, 7.992  9.698 17.366 
3mer-0+40+67,0.00000000,2,0.00000000,0.00000000,1.334525e-12, 7.992  9.698 17.366 
3mer-0+40+47,0.00000000,2,0.00000000,0.00000000,1.209368e-12, 7.992 10.021 17.366 
3mer-0+45+134,0.00000000,2,0.00000000,0.00000000,1.104330e-12, 7.916 10.429 17.366 
3mer-0+52+107,0.00000000,1,0.00000000,0.00000000,4.300523e-13,10.429 10.840 17.366 
3mer-0+28+61,0.00000000,1,0.00000000,0.00000000,3.505799e-12, 5.382 10.437 17.366 
3mer-0+23+86,0.00000000,1,0.00000000,0.00000000,2.060851e-12, 6.186 10.840 17.366 
3mer-0+76+86,0.00000000,1,0.00000000,0.00000000,2.628565e-13,10.840 12.288 17.366 
3mer-0+31+105,0.00000000,2,0.00000000,0.00000000,1.143900e-12, 7.489 10.895 17.366 
3mer-0+27+98,0.00000000,2,0.00000000,0.00000000,1.143900e-12, 7.489 10.895 17.366 
3mer-0+45+90,0.00000000,1,0.00000000,0.00000000,9.369197e-13, 7.916 11.016 17.366 
3mer-0+54+90,0.00000000,1,0.00000000,0.00000000,4.087607e-13,10.437 11.016 17.366 
3mer-0+72+95,0.00000000,1,0.00000000,0.00000000,3.614336e-13,10.744 11.150 17.366 
3mer-0+8+115,0.00000000,2,0.00000000,0.00000000,1.886643e-12, 6.194 11.150 17.366 
3mer-0+78+95,0.00000000,2,0.00000000,0.00000000,7.771297e-13, 8.324 11.150 17.366 
3mer-0+11+154,0.00000000,2,0.00000000,0.00000000,2.329972e-11, 2.680 11.150 17.366 
3mer-0+127+132,0.00000000,1,0.00000000,0.00000000,1.753267e-13,11.312 13.478 17.366 
3mer-0+61+70,0.00000000,1,0.00000000,0.00000000,3.535599e-13,10.437 11.562 17.366 
