N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Minimum Monomer Separations (A)
3mer-0+43+139,-0.00003203,2,-0.00002135,-76.43889440,2.761088e-13, 8.595 11.651 22.726 
3mer-0+53+129,-0.00008034,2,-0.00005356,-76.43894796,2.761088e-13, 8.595 11.651 22.726 
3mer-0+64+160,0.00001785,2,0.00001190,-76.43893606,1.467145e-13,10.429 11.855 22.726 
3mer-0+77+153,0.00001654,2,0.00001103,-76.43892503,1.244733e-13,11.016 11.855 22.726 
3mer-0+58+128,0.00000866,1,0.00000289,-76.43892214,1.259869e-13,10.744 12.106 22.726 
3mer-0+60+128,0.00000341,1,0.00000114,-76.43892101,2.708883e-13, 8.324 12.106 22.726 
3mer-0+66+104,-0.00004437,1,-0.00001479,-76.43893580,2.708883e-13, 8.324 12.106 22.726 
3mer-0+80+104,-0.00001838,1,-0.00000613,-76.43894192,1.021530e-13,11.522 12.106 22.726 
3mer-0+72+146,-0.00002731,1,-0.00000910,-76.43895102,9.131285e-14,10.744 13.478 22.726 
3mer-0+78+146,0.00000315,1,0.00000105,-76.43894997,1.963346e-13, 8.324 13.478 22.726 
3mer-0+85+127,0.00010476,1,0.00003492,-76.43891505,1.963346e-13, 8.324 13.478 22.726 
3mer-0+92+127,-0.00000420,1,-0.00000140,-76.43891645,7.403856e-14,11.522 13.478 22.726 
3mer-0+53+123,-0.00001076,1,-0.00000359,-76.43892004,1.657755e-13, 8.595 13.810 22.726 
3mer-0+114+123,0.00000000,1,0.00000000,-76.43892004,3.920959e-14,13.810 13.898 22.726 
3mer-0+77+145,0.00001470,1,0.00000490,-76.43891514,7.247525e-14,11.016 14.197 22.726 
3mer-0+43+155,-0.00003518,1,-0.00001173,-76.43892687,1.413714e-13, 8.595 14.563 22.726 
3mer-0+106+155,-0.00001050,1,-0.00000350,-76.43893037,3.343749e-14,13.898 14.563 22.726 
3mer-0+145+148,-0.00000210,1,-0.00000070,-76.43893107,2.429644e-14,14.197 15.858 22.726 
3mer-0+63+120,0.00000184,1,0.00000061,-76.43893046,2.525647e-13, 8.756 11.780 22.728 
3mer-0+44+152,0.00005829,1,0.00001943,-76.43891103,5.254242e-13, 8.989  8.989 22.728 
3mer-0+57+138,0.00002573,1,0.00000858,-76.43890245,1.581037e-13,10.429 11.562 22.728 
3mer-0+106+151,-0.00001470,1,-0.00000490,-76.43890735,7.448628e-14,11.150 13.898 22.728 
3mer-0+141+153,-0.00000184,1,-0.00000061,-76.43890797,4.309473e-14,11.855 15.686 22.728 
3mer-0+130+147,-0.00003361,1,-0.00001120,-76.43891917,1.714269e-13, 8.843 13.272 22.728 
3mer-0+62+121,0.00002258,1,0.00000753,-76.43891164,6.622326e-13, 5.156 14.507 22.728 
3mer-0+46+136,0.00002809,1,0.00000936,-76.43890228,5.581564e-13, 5.382 14.714 22.728 
3mer-0+100+143,0.00004673,1,0.00001558,-76.43888670,2.708146e-13, 6.746 14.939 22.728 
3mer-0+119+125,0.00000184,1,0.00000061,-76.43888609,3.894820e-14,12.481 15.410 22.728 
3mer-0+111+159,-0.00002284,1,-0.00000761,-76.43889370,1.158596e-13, 8.595 15.560 22.728 
3mer-0+132+156,-0.00000368,1,-0.00000123,-76.43889493,4.176330e-14,11.312 16.613 22.728 
3mer-0+77+118,0.00004542,1,0.00001514,-76.43887978,1.542250e-13,11.016 11.016 22.770 
3mer-0+123+142,-0.00000630,1,-0.00000210,-76.43888189,7.229271e-14,11.312 13.810 22.770 
3mer-0+137+139,-0.00000394,1,-0.00000131,-76.43888320,6.708968e-14,11.651 13.747 22.770 
3mer-0+39+160,0.00000289,1,0.00000096,-76.43888224,1.892604e-13, 9.561 11.855 22.770 
3mer-0+112+128,-0.00001654,1,-0.00000551,-76.43888775,2.314078e-13, 8.756 12.106 22.770 
3mer-0+58+126,0.00001680,1,0.00000560,-76.43888215,1.142938e-13,10.744 12.481 22.770 
3mer-0+66+116,-0.00000210,1,-0.00000070,-76.43888285,1.879783e-13, 8.324 13.648 22.770 
3mer-0+41+145,0.00004411,1,0.00001470,-76.43886815,5.746058e-13, 5.514 14.197 22.770 
3mer-0+104+140,-0.00000814,1,-0.00000271,-76.43887086,5.088168e-14,12.106 14.507 22.770 
3mer-0+64+148,-0.00000131,1,-0.00000044,-76.43887130,6.094027e-14,10.429 15.858 22.770 
3mer-0+72+120,0.00003229,1,0.00001076,-76.43886053,3.252591e-13, 8.756 10.744 22.905 
3mer-0+47+138,-0.00001260,2,-0.00000840,-76.43886893,2.372318e-13,10.021 10.429 22.905 
3mer-0+44+134,-0.00007561,2,-0.00005041,-76.43891934,3.287209e-13, 8.989 10.429 22.905 
3mer-0+123+151,-0.00000105,1,-0.00000035,-76.43891969,7.416915e-14,11.150 13.810 22.905 
3mer-0+114+132,0.00000499,1,0.00000166,-76.43891803,6.968575e-14,11.312 13.898 22.905 
3mer-0+70+153,0.00000394,1,0.00000131,-76.43891672,1.051500e-13,11.562 11.855 22.905 
3mer-0+80+133,0.00000814,1,0.00000271,-76.43891400,9.996151e-14,11.522 12.099 22.905 
